S2_T,S2-H,S2_P,S3_T,S3_H,S3_P,S5_T,S5_H,S5_P,S6_T,S6_H,S6_P
-0.047139685,0.048945419,0.621966222,0.087400449,0.162092062,0.621966222,0.409272835,-0.278748888,0.621966222,0.274676204,0.461885479,1.168846948
0.073931304,0.361774307,0.510900825,-0.134881578,0.16079992,0.510900825,0.220126824,0.131256028,0.510900825,0.014953719,0.605461658,1.013000688
0.064774674,0.261774511,0.377622349,-0.07579395,0.161948491,0.377622349,-0.024458536,0.455660629,0.377622349,0.055250056,0.567133102,0.779231299
-0.002713075,0.417749589,0.310983111,-0.183066131,0.161517777,0.310983111,-0.004891707,0.485477961,0.310983111,0.11254641,0.530243666,0.649359416
-0.140740785,0.444463067,0.266556952,-0.241098622,0.161087062,0.266556952,-0.298394139,0.705422289,0.266556952,0.044861157,0.689122485,0.519487533
-0.101740326,0.457116819,0.288770032,-0.241098622,0.161589562,0.288770032,-0.220126824,0.787835004,0.288770032,-0.19534279,0.581908065,0.519487533
-0.178045571,0.452986775,0.377622349,-0.245670879,0.161445991,0.377622349,-0.252738205,0.782323114,0.377622349,-0.157250159,0.381438686,0.571436286
2.33494049,-2.200610632,0.755244698,1.961674055,-2.199441402,0.755244698,2.017013932,-2.28016258,0.755244698,1.793029593,-0.837687612,0.701308169
2.998626552,-2.629959494,0.888523174,2.016541137,-2.100736094,0.888523174,0.833220792,-0.387658518,0.888523174,1.526381175,-0.950658511,0.727282546
1.668202218,-1.593054752,0.932949333,1.649002027,-2.17273713,0.932949333,0.64407478,-0.367868842,0.932949333,0.895491647,-0.127194199,0.701308169
1.219188244,-1.00070095,1.02180165,0.778866373,-0.667535024,1.02180165,0.898443554,-0.679191006,1.02180165,0.41854672,0.477332031,0.753256922
0.681321052,-0.22829479,1.332784761,0.70359999,-0.370485887,1.332784761,1.143028914,-1.243728062,1.332784761,0.399028182,0.405471985,1.013000688
0.435109462,0.138576168,1.688194031,0.294910568,0.161876705,1.688194031,0.099464713,0.38447092,1.688194031,0.258305817,0.634292023,1.324693208
0.320142894,0.236379132,2.08802946,0.086345312,0.10796566,2.08802946,-0.099464713,0.694398509,2.08802946,0.243509506,0.68144718,1.558462598
0.231289675,0.403250497,2.843274158,0.099006947,0.161445991,2.843274158,-0.066853332,0.542456293,2.843274158,0.107509368,0.38105492,2.026001377
0.243498514,0.434181893,3.887288887,0.070518269,0.161804919,3.887288887,-0.096203575,0.705156656,3.887288887,0.008657416,0.533841466,3.013027689
-0.19635883,0.392705703,4.353763554,-0.127847336,0.161374205,4.353763554,-0.17447089,0.713856145,4.353763554,-0.081064897,0.597546499,4.000054
-0.084444471,0.407819908,3.731797332,-0.31214446,0.161302419,3.731797332,-0.12229268,0.691874994,3.731797332,-0.110342704,0.68950625,4.15590026
-0.016617587,0.426536917,2.732208761,-0.23898835,0.161445991,2.732208761,-0.194037719,0.743407843,2.732208761,-0.156935344,0.703897448,3.766284611
1.835734622,-1.851929445,4.953516697,1.656739692,-1.848624792,4.953516697,1.628938495,-1.735747242,4.953516697,1.837418527,-1.225386469,2.31171952
1.30634579,-1.350436617,5.975318347,0.755653376,-0.472995835,5.975318347,1.514798661,-1.188144305,5.975318347,1.735733238,-1.185570823,2.701335169
0.775261287,-0.623021578,2.486219172,0.541460727,0.154195637,6.486219172,0.2266491,0.198992505,6.486219172,1.223529016,-0.917798611,2.805232676
0.298099156,-0.026361985,3.085972315,0.370880375,0.144217428,2.085972315,0.59189657,-0.397885398,2.085972315,0.419805981,0.134006033,3.013027689
0.074270438,0.097012105,3.530233902,-0.061725468,0.161589562,2.530233902,0.125553818,0.416878176,2.530233902,0.009916677,0.565885865,3.272771455
-0.000339134,0.179700864,3.974495489,-0.230195548,0.161517777,2.974495489,0.030980812,0.66644061,2.974495489,-0.212657623,0.644653685,3.428617715
-0.113610031,0.388048419,3.974495489,-0.221754458,0.161589562,2.974495489,-0.102725851,0.756423872,2.974495489,-0.257046556,0.789333189,3.324720208
-0.093940235,0.421967506,3.663512378,-0.160204847,0.161661348,2.663512378,-0.207082271,0.798659558,2.663512378,-0.201009463,0.765491772,3.168873948
-0.123784064,0.452986775,3.419168505,-0.298427689,0.161589562,2.419168505,-0.311438691,0.807359047,2.419168505,-0.173935361,0.447973988,3.090950818
-0.19941104,0.451141436,3.352529267,-0.320585549,0.161374205,2.352529267,-0.311438691,0.825289291,2.352529267,-0.437435628,0.805787125,3.116925195
-0.345577975,0.447187138,3.752364696,-0.384597145,0.161230634,2.752364696,-0.360355763,0.828941749,2.752364696,-0.382028164,0.735030405,3.298745831
-0.21399382,0.459401525,2.90826768,-0.43981594,0.161517777,2.90826768,-0.454928769,0.825023658,2.90826768,-0.509213478,0.816100816,2.753283922
0.805105116,-0.659049624,0.133278476,1.734468059,-1.595149561,0.133278476,1.319130373,-1.932847111,0.133278476,1.427844038,-1.102485643,0.025974377
0.28148157,-0.030228409,0.177704635,0.165480528,-0.098059237,0.177704635,0.712558681,-0.983407481,0.177704635,1.809714795,-0.911946191,0.025974377
0.220437374,0.244639221,0.222130794,0.089510721,-0.096910666,0.222130794,0.38318373,-0.859755205,0.222130794,0.440583779,0.029957676,0.025974377
-0.001695672,0.33883938,0.222130794,-0.094786402,0.161661348,0.222130794,-0.337527796,0.493181325,0.222130794,0.085787124,0.205626225,0.025974377
-0.016956721,0.312916762,0.266556952,-0.018113171,0.162092062,0.266556952,-0.125553818,0.284260777,0.266556952,-0.514250521,0.845506829,0.051948753
-0.24621159,0.41001674,0.33319619,-0.298779401,0.161230634,0.33319619,-0.298394139,0.65661218,0.33319619,-0.546046849,0.788373776,0.103897507
-0.270968403,0.452283789,0.377622349,-0.426802594,0.160440991,0.377622349,-0.392967144,0.64758065,0.377622349,-0.556435748,0.674011728,0.15584626
-0.304203576,0.459665145,0.35540927,-0.454939559,0.161015277,0.35540927,-0.324483244,0.736634195,0.35540927,-0.836936032,0.686052363,0.207795013
-0.361856427,0.459753018,0.288770032,-0.506289521,0.161087062,0.288770032,-0.507106979,0.800253358,0.288770032,-0.870306437,0.812934753,0.181820636
-0.398822079,0.459753018,0.222130794,-0.529502517,0.161015277,0.222130794,-0.497323565,0.779666781,0.222130794,-0.901473135,0.853757783,0.181820636
-0.419170145,0.459401525,0.177704635,-0.572763101,0.160728134,0.177704635,-0.52341267,0.741880452,0.177704635,-0.824028612,0.792883018,0.15584626
-0.494797121,0.458786412,0.111065397,-0.597382946,0.161158848,0.111065397,-0.520151531,0.750646349,0.111065397,-0.782787829,0.747646688,0.15584626
1.712967962,-1.751050915,0,1.387679961,-1.735705919,0,1.456098174,-1.489704448,0,1.107362232,-0.783049033,0.07792313
1.900509296,-2.800257917,0.022213079,1.44360218,-2.200231045,0.022213079,1.25390761,-1.477020461,0.022213079,0.99623249,-0.753067372,0.051948753
1.737724774,-2.2688003,0.022213079,1.524495955,-2.394842019,0.022213079,0.953882902,-1.158194157,0.022213079,1.51567746,-1.086991121,0
0.505988556,-1.464935505,0.066639238,1.111585988,-2.007988998,0.066639238,0.846265344,-1.185820015,0.066639238,0.822139721,-0.961164085,0
0.016956721,-0.74349585,0.133278476,0.318826989,-1.18719155,0.133278476,0.761475753,-1.177054117,0.133278476,0.434602292,-0.694830993,0.025974377
-0.459527141,-0.045694107,0.222130794,-0.268883875,-0.243999521,0.222130794,-0.197298857,-0.258295128,0.222130794,-0.06595377,-0.449173255,0.07792313
