S2_T,S2-H,S2_P,S3_T,S3_H,S3_P,S5_T,S5_H,S5_P,S4_T,S4_H,S4_P
-0.304203576,0.459665145,0.35540927,-0.454939559,0.161015277,0.35540927,-0.324483244,0.736634195,0.35540927,-0.128489102,0.529136417,0.35540927
-0.361856427,0.459753018,0.288770032,-0.506289521,0.161087062,0.288770032,-0.507106979,0.800253358,0.288770032,-0.331943614,-2.799302874,0.288770032
-0.398822079,0.459753018,0.222130794,-0.529502517,0.161015277,0.222130794,-0.497323565,0.779666781,0.222130794,-0.244887008,0.528969692,0.222130794
-0.419170145,0.459401525,0.177704635,-0.572763101,0.160728134,0.177704635,-0.52341267,0.741880452,0.177704635,-0.325817408,0.529103072,0.177704635
-0.494797121,0.458786412,0.111065397,-0.597382946,0.161158848,0.111065397,-0.520151531,0.750646349,0.111065397,-0.303569609,0.529169762,0.111065397
1.712967962,-1.751050915,0,1.387679961,-1.735705919,0,1.456098174,-1.489704448,0,1.877682016,-1.053087674,0
1.900509296,-2.800257917,0.022213079,1.44360218,-2.200231045,0.022213079,1.25390761,-1.477020461,0.022213079,2.186571751,-1.201206524,0.022213079
1.737724774,-2.2688003,0.022213079,1.524495955,-2.394842019,0.022213079,0.953882902,-1.158194157,0.022213079,2.131758332,-1.307610677,0.022213079
0.505988556,-1.464935505,0.066639238,1.111585988,-2.007988998,0.066639238,0.846265344,-1.185820015,0.066639238,1.820289142,-1.137217313,0.066639238
0.016956721,-0.74349585,0.133278476,0.318826989,-1.18719155,0.133278476,0.761475753,-1.177054117,0.133278476,1.127383046,-0.832743379,0.133278476
-0.459527141,-0.045694107,0.222130794,-0.268883875,-0.243999521,0.222130794,-0.197298857,-0.258295128,0.222130794,0.364509233,-0.403358772,0.222130794
-0.539562864,0.097802964,0.310983111,-0.31214446,-0.284343072,0.310983111,-0.207082271,-0.148256555,0.310983111,0.142353672,-0.200087158,0.310983111
-0.412387456,0.185588374,0.35540927,-0.316365004,-0.284414858,0.35540927,-0.304916415,-0.028057512,0.35540927,0.071096228,-0.161273484,0.35540927
-0.459188006,0.168716704,0.33319619,-0.329026639,-0.282620216,0.33319619,-0.334266658,0.040475866,0.33319619,-0.075287842,-0.029326999,0.33319619
-0.722017183,0.166959238,0.310983111,-0.585776448,0.160656348,0.310983111,-0.425578526,0.096922931,0.310983111,-0.115591827,-0.062205249,0.310983111
-0.770174271,0.351229513,0.244343873,-0.744046878,0.160943491,0.244343873,-0.520151531,0.162003076,0.244343873,-0.220704617,0.032961613,0.244343873
-0.595859178,0.248329898,0.155491555,-0.753894816,0.160225634,0.155491555,-0.62776909,0.541659393,0.155491555,-0.411261855,0.354741644,0.155491555
2.104329084,-2.667393513,0.222130794,1.619809925,-2.154072854,0.222130794,1.485448417,-1.740927091,0.222130794,2.039865248,-1.10910741,0.222130794
1.435216871,-2.471084598,0.288770032,1.847015921,-2.343371688,0.288770032,1.723511501,-2.185663553,0.288770032,1.97312185,-1.071460814,0.288770032
1.352468072,-1.795778417,0.310983111,0.786604038,-1.667796668,0.310983111,1.521320937,-1.928729796,0.310983111,1.492375927,-0.956320249,0.310983111
0.751182743,-1.114408978,0.310983111,0.45845668,-0.933931677,0.310983111,0.807131687,-0.937984196,0.310983111,1.423053074,-0.899666957,0.310983111
0.139384247,-0.398681086,0.266556952,0.251298272,-0.809168168,0.266556952,0.396228283,-0.625865132,0.266556952,0.916835032,-0.665551143,0.266556952
-0.155662699,-0.065817089,0.222130794,-0.141212395,-0.222463818,0.222130794,0.066853332,-0.364747651,0.222130794,0.645992259,-0.624203243,0.222130794
-0.259098698,-0.021792574,0.155491555,-0.231250684,-0.184919908,0.155491555,-0.180993166,-0.07215263,0.155491555,0.048203565,0.32663174,0.155491555
-0.314038474,-0.143233452,0.111065397,-0.396907068,0.161302419,0.111065397,-0.246215929,-0.022346397,0.111065397,-0.003063103,-0.013988261,0.111065397
-0.366943444,0.156941684,0.088852317,-0.5639703,0.161087062,0.088852317,-0.334266658,0.216258666,0.088852317,-0.113012372,0.208823569,0.088852317
