S2_T,S2_H,S2_R,S2_P,S3_T,S3_H,S3_R,S3_P,S5_T,S5_H,S5_R,S5_P,S4_T,S4_H,S4_R,S4_P
0.047093926,0.253830656,1.065017323,1.880309484,0.028810917,0.00256617,1.082265553,1.880309484,-0.034535337,0.467414056,0.786191418,1.880309484,-0.673557348,1.199160485,1.19089154,1.880309484
-0.032256114,0.24725429,0.942716373,1.093998245,-0.078429717,0.00168634,0.336483323,1.093998245,-0.175679755,0.459234076,0.560363723,1.093998245,-0.698045043,1.198909298,0.432478211,1.093998245
0.152571417,0.268776943,1.826908541,1.846122039,0.092194933,0.002346212,-0.4596358,1.846122039,-0.124627519,0.435068791,1.437723973,1.846122039,-0.548786716,1.199268137,0.220828374,1.846122039
0.337398948,0.012127844,0.330122375,1.435872697,0.516035528,-0.153237001,-0.361756769,1.435872697,0.244750428,0.352769449,1.509492716,1.435872697,-0.164271615,0.921993235,0.518798145,1.435872697
1.472491584,-1.419470225,-0.398456189,1.162373136,1.431902555,-1.420485,-0.777167948,1.162373136,1.310841251,-0.908196345,-0.464799548,1.162373136,0.595138423,0.049906791,-0.212467994,1.162373136
1.997298552,-2.453411654,-0.787944318,1.606809923,2.366976859,-2.285430883,-0.699683268,1.606809923,1.445979525,-1.2919061,-0.594934656,1.606809923,0.841472965,-0.336562822,0.982671802,1.606809923
2.197931578,-1.783305554,-0.762615268,2.666620723,2.711107251,-3.006597935,-0.792642991,2.666620723,1.926471163,-1.703715024,-0.73306485,2.666620723,1.345511336,-0.490397105,-0.430656193,2.666620723
2.321472493,-2.238099714,-0.888018836,4.273430646,2.53279969,-2.081383719,-0.981875486,4.273430646,2.310864474,-2.207252123,-0.922504294,4.273430646,1.31810844,-0.401261495,-0.590761377,4.273430646
2.843053849,-2.580754019,-0.933719733,6.08536524,2.331123274,-3.550186032,-1.00325057,6.08536524,1.500034834,-1.255502067,-0.957396258,6.08536524,0.387576064,-0.091691082,-0.621962577,0.6
-0.029998186,0.258528061,-0.602739931,3.068237059,0,0.002492851,-0.72943592,3.068237059,-0.130633664,0.486896146,-0.509774701,2.068237059,-0.881994269,-2.382949922,-0.303793332,0.8
0.003548172,0.266812574,-0.291084008,2.563989472,-0.058262076,0.002126255,-0.350251576,6.563989472,-0.124627519,0.489893391,0.091875101,2.563989472,-0.881994269,-2.382949922,-0.036406496,0.6
-0.099993952,0.264250354,0.535184153,5.880240569,-0.110121726,0.002052936,0.053781749,5.880240569,-0.139642882,0.485709737,0.14182206,5.880240569,-0.853133772,1.198693995,0.324600879,0.6
-0.125153721,0.269887239,0.793790705,5.606741007,-0.16550271,0.001906298,0.451604505,5.606741007,-0.193698192,0.487895228,2.374329935,5.606741007,-0.906190443,1.198801646,0.71479092,0.5
-0.131604943,0.270058054,1.964084273,5.09392933,-0.330045056,0.001832978,0.380026568,5.09392933,-0.313821101,0.49226621,0.785482357,5.09392933,-0.913186927,1.198693995,1.109187419,0.5
-0.0796726,0.270314276,1.337768256,0.136749781,-0.114603424,0.001979617,0.709919538,0.136749781,-0.274781156,0.460795141,0.020960582,0.136749781,-0.827479997,1.198909298,1.027257448,0.136749781
0.16482874,0.270399683,-0.460518077,0.170937226,0.124527184,0.002126255,0.609008945,0.170937226,0.106609082,0.420020125,0.294362392,0.170937226,-0.612921153,0.693125715,-0.277318046,0.170937226
0.482228898,-0.192422769,-0.718445038,0.205124671,0.6869803,-0.798738701,-0.21641826,0.205124671,0.548060775,-0.464167041,0.025449444,0.205124671,-0.280296642,0.389691449,-0.376788106,0.205124671
1.438300104,-1.657842151,-0.44277885,0.205124671,1.082970343,-0.992374547,-0.809938758,0.205124671,0.998521686,-1.442267873,-0.82793113,0.205124671,-0.026091055,0.33331784,-0.363248388,0.205124671
1.82634115,-1.900826073,-0.783428532,0.239312116,1.582999806,-2.34445279,-0.856996113,0.239312116,1.548083998,-1.687792162,-0.7379222,0.239312116,0.496604606,-0.052290559,-0.33151644,0.239312116
1.798278331,-1.776045929,-0.908162036,0.239312116,2.063501871,-2.730698015,-0.928265756,0.239312116,2.049597146,-2.278311798,-0.862825886,0.239312116,1.103841117,-0.528505808,-0.470513102,0.239312116
1.676672783,-1.868456686,-0.933719733,0.307687006,1.86310594,-1.885768256,-1.00325057,0.307687006,1.72526529,-2.247028057,-0.957396258,0.307687006,1.2134527,-0.542500529,-0.621962577,0.307687006
-0.229018406,0.26920398,-0.572440976,0.307687006,-0.262179341,0.001906298,-0.801652786,0.307687006,-0.214719701,0.437066954,-0.686127216,0.307687006,-0.997727775,1.198622227,-0.171123298,0.307687006
-0.61351128,0.269374795,-0.419793436,0.239312116,-0.438246053,0.00168634,-0.213679354,0.239312116,-0.214719701,0.434257037,-0.027445424,0.239312116,-1.037082998,1.198873414,0.23329248,0.239312116
