S7_T,S7_H,S7_P,S8_T,S8_H,S8_P,S9_T,S9_H,S9_P,S6_T,S6_H,S6_P
-0.565453447,0.751744215,0.310983111,-0.969107106,0.954218818,0.07792313,-0.474149682,0.034665792,0.310983111,-0.341102197,0.30953067,0.07792313
-0.695930064,1.000554727,0.244343873,-0.835375766,0.860123762,0.07792313,-0.699447587,0.034560928,0.244343873,-0.827806394,0.658709088,0.07792313
-0.847440694,1.000238496,0.155491555,-0.961194009,0.954401409,0.07792313,-0.694531997,0.034141474,0.155491555,-0.9257139,0.734166933,0.07792313
1.123183467,-1.087012268,0.222130794,1.29206038,-0.796338756,0.337666896,1.071393947,-1.66999606,0.222130794,0.899899059,-0.782377444,0.337666896
0.955240014,-1.044700567,0.288770032,1.234690427,-0.725371851,0.415590026,0.774410345,-1.761227348,0.288770032,0.686454399,-0.581092564,0.415590026
0.760675387,-1.070315274,0.310983111,0.579090335,-0.712894822,0.415590026,0.647833885,-0.666242169,0.310983111,0.881639781,-0.897938758,0.415590026
0.552307189,-0.725054323,0.310983111,-0.32616797,0.177173809,0.337666896,0.317260414,0.036343609,0.310983111,0.821510091,-0.949986922,0.337666896
0.3876503,-0.807400862,0.266556952,-0.200349726,0.491534072,0.259743766,0.216081173,0.035819291,0.266556952,0.527157941,-0.74927769,0.259743766
0.046833546,-0.08399094,0.222130794,-0.754662176,0.954340545,0.181820636,-0.214852275,0.035399837,0.222130794,0.352750357,-0.671085518,0.181820636
-0.444507868,0.668006259,0.155491555,-0.820340882,0.954279682,0.07792313,-0.210755949,-0.175900214,0.155491555,-0.119787158,-0.072411708,0.07792313
-0.610808039,1.000554727,0.111065397,-0.990076814,0.954462273,0.051948753,-0.276706791,0.035085246,0.111065397,-0.414139308,0.213109647,0.051948753
-0.617381169,0.98505941,0.088852317,-0.93270686,-0.056116198,0.025974377,-0.491763882,0.034875519,0.088852317,-0.314657726,0.29643468,0.025974377
